Timestamp,Page Id,Url,Old Content,New Content
2024-05-30 19:10:24.981827,73717,https://czi.instructure.com/courses/490/pages/2-dot-2-dot-14-percent-7c-resource-image-example-calculation-of-simpson-percent-e2-percent-80-percent-99s-biodi,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1w9CBWG2-qP-Bpq-191XKhANjD35g_ThG/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1w9CBWG2-qP-Bpq-191XKhANjD35g_ThG/view?usp=drivesdk"" width=""100%""></iframe><div>Reference this sample calculation to see how to use the Simpson’s Biodiversity Index to calculate the Biodiversity of your ecosystem. Note that the symbol “∑” means “sum of”.</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1w9CBWG2-qP-Bpq-191XKhANjD35g_ThG/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1w9CBWG2-qP-Bpq-191XKhANjD35g_ThG/view?usp=drivesdk"">Click here to access this resource</a><div>Reference this sample calculation to see how to use the Simpson’s Biodiversity Index to calculate the Biodiversity of your ecosystem. Note that the symbol “∑” means “sum of”.</div>"
2024-05-30 19:10:26.182224,73722,https://czi.instructure.com/courses/490/pages/2-dot-2-dot-19-percent-7c-resource-graph-type-matrix,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1TB_1Lx5J3jaYpR8cdZ9o4bqYf03zZ0FL/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1TB_1Lx5J3jaYpR8cdZ9o4bqYf03zZ0FL/view?usp=drivesdk"" width=""100%""></iframe><div>Reference this resource for support when choosing what type of graph to create using your biodiversity data.</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1TB_1Lx5J3jaYpR8cdZ9o4bqYf03zZ0FL/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1TB_1Lx5J3jaYpR8cdZ9o4bqYf03zZ0FL/view?usp=drivesdk"">Click here to access this resource</a><div>Reference this resource for support when choosing what type of graph to create using your biodiversity data.</div>"
2024-05-30 19:10:33.105637,73753,https://czi.instructure.com/courses/490/pages/3-dot-1-dot-18-percent-7c-resource-reading-the-arctic-is-melting-so-what,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1hB5ELrfoLM7Wue0PRzI-pje3JDw7UuRg/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1hB5ELrfoLM7Wue0PRzI-pje3JDw7UuRg/view?usp=drivesdk"" width=""100%""></iframe><div>What happens to global weather when Arctic sea ice melts? Read the results of this science investigation that explores melting sea ice in the Artic and how this effects albedo and feedback loops that drive weather conditions around the world.  </div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1hB5ELrfoLM7Wue0PRzI-pje3JDw7UuRg/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1hB5ELrfoLM7Wue0PRzI-pje3JDw7UuRg/view?usp=drivesdk"">Click here to access this resource</a><div>What happens to global weather when Arctic sea ice melts? Read the results of this science investigation that explores melting sea ice in the Artic and how this effects albedo and feedback loops that drive weather conditions around the world.  </div>"
2024-05-30 19:10:36.215037,73767,https://czi.instructure.com/courses/490/pages/3-dot-2-dot-13-percent-7c-resource-reading-how-does-carbon-cycle-through-the-oceans,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1nIfw1zpTBEvuLenz-GWIrZUf1hD6obut/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1nIfw1zpTBEvuLenz-GWIrZUf1hD6obut/view?usp=drivesdk"" width=""100%""></iframe><div>Read the results of this science investigation to see how scientsts used a computer model (a ""virtual"" ocean) in order to track CO2 and discover where it goes and how long it will stay. Does ocean carbon cycle differently in different parts of the world?</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1nIfw1zpTBEvuLenz-GWIrZUf1hD6obut/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1nIfw1zpTBEvuLenz-GWIrZUf1hD6obut/view?usp=drivesdk"">Click here to access this resource</a><div>Read the results of this science investigation to see how scientsts used a computer model (a ""virtual"" ocean) in order to track CO2 and discover where it goes and how long it will stay. Does ocean carbon cycle differently in different parts of the world?</div>"
2024-05-30 19:10:36.758565,73768,https://czi.instructure.com/courses/490/pages/3-dot-2-dot-14-percent-7c-resource-reading-how-do-tiny-ocean-critters-affect-the-global,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1rwYBqNo5Oco2w-BFpvcS54Z3OwklU79u/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1rwYBqNo5Oco2w-BFpvcS54Z3OwklU79u/view?usp=drivesdk"" width=""100%""></iframe><div>How do tiny photosynthetic microbes and bacteria in the ocean affect the carbon cycle? Read the results of this science investigation to see how scientists explored this question.</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1rwYBqNo5Oco2w-BFpvcS54Z3OwklU79u/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1rwYBqNo5Oco2w-BFpvcS54Z3OwklU79u/view?usp=drivesdk"">Click here to access this resource</a><div>How do tiny photosynthetic microbes and bacteria in the ocean affect the carbon cycle? Read the results of this science investigation to see how scientists explored this question.</div>"
2024-05-30 19:10:41.203172,73777,https://czi.instructure.com/courses/490/pages/3-dot-3-dot-11-percent-7c-resource-infographic-global-change-example-sea-level-rise,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/18_7k1uY3ye5pJU1L-q4aVBeyN4beedKH/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/18_7k1uY3ye5pJU1L-q4aVBeyN4beedKH/view?usp=drivesdk"" width=""100%""></iframe><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/18_7k1uY3ye5pJU1L-q4aVBeyN4beedKH/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/18_7k1uY3ye5pJU1L-q4aVBeyN4beedKH/view?usp=drivesdk"">Click here to access this resource</a><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>"
2024-05-30 19:10:41.639896,73778,https://czi.instructure.com/courses/490/pages/3-dot-3-dot-12-percent-7c-resource-infographic-global-change-example-wildfires,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1apghObVEw40KSsvt5GgiPz1_wzJq1_Tw/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1apghObVEw40KSsvt5GgiPz1_wzJq1_Tw/view?usp=drivesdk"" width=""100%""></iframe><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1apghObVEw40KSsvt5GgiPz1_wzJq1_Tw/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1apghObVEw40KSsvt5GgiPz1_wzJq1_Tw/view?usp=drivesdk"">Click here to access this resource</a><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>"
2024-05-30 19:10:42.116353,73779,https://czi.instructure.com/courses/490/pages/3-dot-3-dot-13-percent-7c-resource-infographic-global-change-example-extreme-weather,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1nGNWQdMipYcErlm5rweIH8Y0xy613ZvR/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1nGNWQdMipYcErlm5rweIH8Y0xy613ZvR/view?usp=drivesdk"" width=""100%""></iframe><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1nGNWQdMipYcErlm5rweIH8Y0xy613ZvR/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1nGNWQdMipYcErlm5rweIH8Y0xy613ZvR/view?usp=drivesdk"">Click here to access this resource</a><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>"
2024-05-30 19:10:42.508752,73780,https://czi.instructure.com/courses/490/pages/3-dot-3-dot-14-percent-7c-resource-infographic-global-change-example-human-health,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1WLx_p2fqni2MyS_NP77gwVXP2cDf9Hd-/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1WLx_p2fqni2MyS_NP77gwVXP2cDf9Hd-/view?usp=drivesdk"" width=""100%""></iframe><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1WLx_p2fqni2MyS_NP77gwVXP2cDf9Hd-/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1WLx_p2fqni2MyS_NP77gwVXP2cDf9Hd-/view?usp=drivesdk"">Click here to access this resource</a><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>"
2024-05-30 19:10:42.902119,73781,https://czi.instructure.com/courses/490/pages/3-dot-3-dot-15-percent-7c-resource-infographic-global-change-example-coral-reefs,"<p><a href=""https://drive.google.com/a/summitps.org/file/d/1slG1U3w0axuesnkt1QskwOKtzmnI9KUI/view?usp=drivesdk"">Google Doc</a></p>
<iframe height=""600"" src=""https://drive.google.com/a/summitps.org/file/d/1slG1U3w0axuesnkt1QskwOKtzmnI9KUI/view?usp=drivesdk"" width=""100%""></iframe><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>","<p><a href=""https://drive.google.com/a/summitps.org/file/d/1slG1U3w0axuesnkt1QskwOKtzmnI9KUI/view?usp=drivesdk"">Google Doc</a></p>
<a href=""https://drive.google.com/a/summitps.org/file/d/1slG1U3w0axuesnkt1QskwOKtzmnI9KUI/view?usp=drivesdk"">Click here to access this resource</a><div>Reference this resource during the Activity: How Are Rising Temperatures and CO2 Causing Global Change?</div>"
